Region,School,Club Name,Club Link,Main Contact (Discord),Status,Discord Role ID,Acronym
Midwest,University of Minnesota-Twin Cities,Video Game Development Club,https://vgdc.club/,,In The Discord,1517348696612667533,
Midwest,University of Iowa,EPX Studio,https://epx.org.uiowa.edu/,,In The Discord,1517356778097213581,
West ,Brigham Young University,BYU Game Dev Club,https://github.com/BYU-GameDevClub,,In The Discord,1521389745119170620,
Midwest,University of Illinois Urbana-Champaign,GameBuilders,https://gamebuilders.acm.illinois.edu/,,In The Discord,1517644604222996642,
West ,University of Washington-Seattle Campus,Game Development Club,https://careers.uw.edu/organizations/game-development-club/,,In The Discord,1517357554026676384,
Southwest,Texas A & M University-College Station,Texas A&M Game Developers,https://getinvolved.tamu.edu/org/tagd,,In The Discord,1517358712086593687,
Midwest,University of Notre Dame,ND Video Game Club,https://www.ndvg.club/,,In The Discord,1517364422161465374,
West ,Iowa State University,ISU GDC,https://www.stuorg.iastate.edu/isu-gdc,,In The Discord,1518267979450814534,
West ,University of California-Los Angeles,,,,Reached Out,,
Northeast,Rutgers University-New Brunswick,,,,Reached Out,,
Northeast,University of Maryland-College Park,UMDGDC,https://gdc.umd.edu/,,Reached Out,,
Northeast,Binghamton University,Game Development Group,https://bengaged.binghamton.edu/gdg/home/,,In The Discord,1518077780284276956,
Midwest,Indiana University-Bloomington,Game Dev at IU,https://beinvolved.bloomington.iu.edu/organization/gdiu,,In The Discord,1519429129437712535,
,,,,,,,
Southeast,Auburn University,,,,Reached Out,,
Midwest,University of Wisconsin-Madison,Game Design and Development,,,In The Discord,1519383776789266542,
Northeast,University of Massachusetts-Amherst,UMass ACM,https://discord.gg/WjrpNgnah,,In The Discord,1517699194373144707,
Southeast,University of Virginia-Main Campus,Student Game Developers,https://uvasgd.wordpress.com/,,In The Discord,1518077653247332483,
Midwest,Purdue University-Main Campus,Independent Game Developers Club,https://www.boilerlink.purdue.edu/organization/indiegamedev,,In The Discord,1524819279252557934,
Southeast,University of Florida,DevLUp UF,https://devlup.org/about,,In The Discord,1519418556163559604,
Northeast,Penn State University-Penn State Harrisburg,,,,Reached Out,1523917824630984935,
Northeast,University of Rochester,,,,Reached Out,,
Southwest,University of Oklahoma-Norman Campus,,,,Reached Out,,
West ,Loyola Marymount University,,,,Reached Out,,
Southeast,University of Kentucky,,,,Reached Out,1521040374737404076,
West ,University of Hawaii at Manoa,Game Dev @ UHM,https://uhmgamedev.wixsite.com/my-site,,Reached Out,,
West ,University of Colorado Boulder,CU Game Development Club,https://cugame.dev/,,Reached Out,,
Northeast,Smith College,Smith Game Dev,https://www.instagram.com/smithgamedev?igsh=ZjA0MmJrODVxd2hk,deadpoet5359,In The Discord,1520056225109377044,
Other,RIT Dubai,,,,Will reach out,,
Northeast,Hampshire College ,,,,In The Discord,1524898878174924944,
Northeast,Amherst College,,,,Haven't Reached Out,,
Northeast,Cornell University,Development in Games Association,https://dga-official-website.vercel.app/,,In The Discord,1483942294125281393,
Northeast,New York University,NYU Game Center,https://tisch.nyu.edu/game-center,,In The Discord,1523866282427027647,
Northeast,Wesleyan University,Make Games @ Wes,https://wesleyan.campuslabs.com/engage/organization/make-games-at-wes,,In The Discord,1523704851694092298,
Southeast,Louisiana State University and Agricultural & Mechanical College,Game Development Club,https://tigerlink.lsu.edu/gdc/home/,,In The Discord,1524155992588288020,
West ,University of Oregon,Game Development Club UO,https://uoregon.campuslabs.com/engage/organization/gamedevuo,,In The Discord,1523074175332520036,
Southeast,University of South Alabama,,,,Reached Out,,
,,,,,Haven't Reached Out,,
Southeast,University of Maryland-Baltimore County,UMBC Game Developers Club,https://umbcgamedev.com/,,In The Discord,1524831107990687908,
Southeast,William & Mary,Game Design Club at William and Mary,https://tribelink.wm.edu/organization/gamedesign,,In The Discord,1524780312712843325,
Southeast,George Mason University,Game Analysis Design Interest Group,https://orgs.gmu.edu/gadig/,,In The Discord,1523704435979718726,
Southeast,James Madison University,DukeDevs,https://dukedevs.itch.io/,,In The Discord,1524806202670841898,
Midwest,University of Nebraska-Lincoln,UNL Game Development Club,https://unl-game-dev-club.github.io/,,In The Discord,1524214387764891788,
West ,California State Polytechnic University-Pomona,CPP Game Development Club,https://www.cppgamedev.com/,,In The Discord,1523918542720864357,
Midwest,Ohio University-Main Campus,Ohio University Game Developer's Association,https://ohio.campuslabs.com/engage/organization/ohio-university-game-developer-s-association,,In The Discord,1524847684949770360,
West ,California State Polytechnic University-San Luis Obispo,Cal Poly Game Development,https://cpgd.org/,,In The Discord,1524954475385851995,
West ,California State University-Monterey Bay,Game Development Club,https://www.instagram.com/gamedevcsumb/,,In The Discord,1524994154378297484,
Northeast,Emerson College,Game Development Club,https://www.instagram.com/emersongamedev/,,In The Discord,1525215749810032871,
West ,California State University-Sacramento,Video Game Design Club,https://www.csus.edu/college/engineering-computer-science/ecs-student-clubs-organizations.html,,In The Discord,1525290187012313281,
Midwest,Case Western Reserve University,Game Dev Club,https://community.case.edu/gdc/home/,,In The Discord,1525515315989975040,
Midwest,Columbia College Chicago,Game Forge,https://discord.com/invite/b8UQFBHVcZ,,In The Discord,1525659099306655814,
Southeast,Florida Institute of Technology,Game Development Club,https://floridatech.campuslabs.com/engage/organization/game-development-club,,In The Discord,1525660718551273473,
Southeast,Old Dominion University,Game Design & Development Club,https://odu.campusgroups.com/game/home/,,In The Discord,1525685276641333328,
Midwest,University of Michigan-Ann Arbor,WolverineSoft ,https://www.wolverinesoft.org/,,In The Discord,1525707194283327558,
West ,University of California-Los Angeles,ACM Studio,https://studio.uclaacm.com/,,In The Discord,1526718691960426576,
West ,California State University-Long Beach,Video Game Development Association,https://csulb.campuslabs.com/engage/organization/csulb-vgda,,In The Discord,1527872487524667523,
Southeast,Davidson College,Game Development Club,,,In The Discord,1528124905877409873,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
,,,,,Haven't Reached Out,,
